,Using Index,loc,iloc,iterrows,itertuples,iteritems,over columns,apply,zip,pandas builtin,numpy builtin
100,0.0055287999998654405,0.001173099999959959,0.0013976000000184285,0.009022699999604809,0.00031010000020614825,3.2299999929819016e-05,0.0012363000000732427,0.0028719000001729,4.049999961353024e-05,0.00025780000032682443,1.8100000033882683e-05
1000,0.027680299999701674,0.014305599999715925,0.01449559999991834,0.07493040000008477,0.0008640000000923465,0.00014370000008057104,0.012553399999887915,0.019774099999722242,0.0001973999997062492,0.0002318000001650944,1.9300000076327702e-05
5000,0.11768790000041918,0.06704760000002352,0.0759861000001365,0.41475369999989203,0.0034523999997873034,0.00076149999995323,0.07264610000038374,0.09561020000001008,0.0015626999997948587,0.00030990000004749163,2.449999965392635e-05
10000,0.24770859999989625,0.18208430000004228,0.1996444999999767,0.8391489000000547,0.008814799999981915,0.0012566000000333588,0.15820709999979954,0.19586749999962194,0.0018415999998069308,0.00028109999993830565,2.829999993991805e-05
50000,1.3086865000000216,0.6651810999996997,0.8516394000002947,4.109641300000021,0.031601799999862124,0.006346399999983987,0.845467699999972,1.223272900000211,0.012658099999953263,0.0009421999998266984,7.630000027347705e-05
100000,2.4658364000001707,1.6499688999997488,1.967878999999812,7.910243499999979,0.06804839999995238,0.013010399999984656,1.36101890000009,2.0411346000000776,0.017925000000104774,0.0011727999999493475,0.00011730000005627517
500000,13.065995699999805,6.731234500000028,8.846183900000144,38.63859469999989,0.3338268000002245,0.06151249999993525,7.029269099999966,10.074113000000123,0.09189409999999043,0.0021547999999711465,0.001483999999891239
1000000,41.04082150000022,29.330260400000046,14.623857300000054,77.40396360000022,0.6448645000000397,0.125937199999953,28.279058000000077,19.24255970000013,0.18034990000023754,0.003034500000012485,0.0024917000000641565
5000000,207.21464969999988,151.03015180000008,74.77305860000071,381.1977981999999,3.3622685000000274,0.6189662000006138,152.0165687999997,96.30324010000004,0.9613233999998556,0.013502900000275986,0.014365400000315274
10000000,423.20589130000013,310.3435315999996,160.07798189999994,765.4712338999997,6.902489300000526,1.2284628000006703,315.9125108999997,195.5776954999992,2.0793845999996847,0.025547599999299564,0.026959400000123424
50000000,2168.6070721999995,1969.5416738999993,804.9262975999991,4631.411981900001,36.01388789999692,6.581863899999007,1579.3735350999996,981.9689337000018,9.586608999998134,0.2285121999993862,0.13492199999745935
100000000,4510.711646000001,3330.0344991,1580.3948232000002,7771.4272009000015,65.78828540000177,12.35653850000017,3375.2898066999987,2224.666575299998,41.93807060000108,0.7670861000005971,0.3302181999970344
1000000000,,,,,,,,,,,
10000000000,,,,,,,,,,,
